0,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9
458,0.27031,0.30952,0.36893,0.45626,0.57389,0.6131,0.64102,0.65825,0.66419,0.66122,0.59647,0.50438,0.3624,0.2513,0.18536,0.16753,0.15743
459,0.27388,0.3119,0.37131,0.45923,0.57746,0.61726,0.64518,0.66182,0.66835,0.66538,0.60063,0.50795,0.36537,0.25427,0.18773,0.1705,0.1604
460,0.27803,0.31427,0.37368,0.46161,0.58043,0.62023,0.64875,0.66598,0.67251,0.66954,0.60419,0.51151,0.36834,0.25724,0.19011,0.17288,0.16278
461,0.28219,0.31665,0.37547,0.46398,0.5834,0.62379,0.65231,0.66895,0.67548,0.6731,0.60775,0.51448,0.37131,0.25962,0.19308,0.17585,0.16635
462,0.28635,0.31903,0.37784,0.46636,0.58637,0.62677,0.65528,0.67251,0.67905,0.67607,0.61132,0.51805,0.37487,0.26318,0.19605,0.17882,0.16932
463,0.28992,0.32081,0.37962,0.46874,0.58874,0.62974,0.65825,0.67548,0.68202,0.67964,0.61429,0.52102,0.37784,0.26615,0.19961,0.18239,0.17288
464,0.29407,0.32319,0.38141,0.47052,0.59112,0.63152,0.66063,0.67786,0.68439,0.68202,0.61726,0.52399,0.38081,0.26912,0.20258,0.18536,0.17644
465,0.29823,0.32497,0.38259,0.4723,0.5929,0.63389,0.66241,0.68023,0.68677,0.68499,0.61964,0.52696,0.38378,0.27269,0.20615,0.18951,0.18001
466,0.30239,0.32675,0.38438,0.47349,0.59468,0.63568,0.66479,0.68261,0.68914,0.68677,0.62261,0.52993,0.38735,0.27625,0.21031,0.19367,0.18476
467,0.30655,0.32853,0.38556,0.47468,0.59647,0.63746,0.66657,0.68439,0.69152,0.68914,0.62498,0.5323,0.39032,0.27982,0.21447,0.19783,0.18892
468,0.31012,0.33031,0.38675,0.47587,0.59765,0.63865,0.66776,0.68558,0.69271,0.69093,0.62677,0.53468,0.39388,0.28398,0.21863,0.20199,0.19367
469,0.31427,0.3321,0.38794,0.47705,0.59884,0.63984,0.66895,0.68677,0.69449,0.69271,0.62914,0.53765,0.39745,0.28813,0.22338,0.20674,0.19902
470,0.31784,0.33328,0.38854,0.47765,0.60003,0.64102,0.67013,0.68796,0.69568,0.6939,0.63092,0.54003,0.40042,0.29229,0.22813,0.21209,0.20377
471,0.3214,0.33447,0.38913,0.47824,0.60063,0.64162,0.67073,0.68855,0.69627,0.69449,0.63211,0.5424,0.40398,0.29645,0.23288,0.21744,0.20912
472,0.32497,0.33626,0.38972,0.47884,0.60063,0.64221,0.67132,0.68914,0.69687,0.69568,0.63389,0.54419,0.40755,0.3012,0.23823,0.22278,0.21506
473,0.32853,0.33744,0.39032,0.47884,0.60122,0.64221,0.67132,0.68914,0.69746,0.69627,0.63508,0.54656,0.41111,0.30596,0.24417,0.22872,0.2216
474,0.3321,0.33804,0.39091,0.47884,0.60122,0.64221,0.67132,0.68914,0.69746,0.69627,0.63568,0.54894,0.41527,0.31071,0.25011,0.23467,0.22813
475,0.33566,0.33923,0.39091,0.47884,0.60063,0.64162,0.67073,0.68855,0.69687,0.69627,0.63686,0.55072,0.41883,0.31606,0.25605,0.2412,0.23467
476,0.33863,0.34041,0.39091,0.47824,0.60003,0.64102,0.67013,0.68796,0.69627,0.69627,0.63746,0.5525,0.4224,0.3214,0.26259,0.24774,0.24179
477,0.3422,0.34101,0.39091,0.47765,0.59944,0.64043,0.66954,0.68736,0.69568,0.69509,0.63805,0.55429,0.42656,0.32734,0.26912,0.25486,0.24892
478,0.34517,0.3416,0.39032,0.47705,0.59825,0.63865,0.66776,0.68558,0.69449,0.69449,0.63805,0.55607,0.43072,0.33328,0.27625,0.26259,0.25724
479,0.34754,0.3416,0.38972,0.47587,0.59647,0.63746,0.66598,0.6838,0.69271,0.6933,0.63805,0.55726,0.43428,0.33923,0.28398,0.27031,0.26496
480,0.35051,0.3422,0.38913,0.47468,0.59468,0.63508,0.66419,0.68202,0.69033,0.69152,0.63746,0.55904,0.43844,0.34517,0.2911,0.27863,0.27328
481,0.35289,0.3422,0.38854,0.4729,0.5929,0.63271,0.66182,0.67905,0.68796,0.68914,0.63686,0.56023,0.4426,0.3517,0.29883,0.28635,0.28219
482,0.35527,0.3422,0.38735,0.47111,0.58993,0.62974,0.65825,0.67607,0.68499,0.68677,0.63568,0.56082,0.44676,0.35824,0.30714,0.29526,0.2911
483,0.35764,0.3416,0.38556,0.46874,0.58756,0.62677,0.65528,0.67251,0.68202,0.6838,0.63389,0.56201,0.45091,0.36537,0.31606,0.30477,0.3012
484,0.35942,0.34101,0.38378,0.46636,0.58399,0.6232,0.65112,0.66895,0.67786,0.68023,0.63271,0.5626,0.45507,0.3719,0.32497,0.31368,0.31071
485,0.36121,0.34041,0.382,0.46339,0.58043,0.61904,0.64696,0.66419,0.6737,0.67607,0.63033,0.5626,0.45923,0.37962,0.33447,0.32378,0.3214
486,0.3624,0.33923,0.37962,0.45983,0.57627,0.61429,0.64221,0.65944,0.66895,0.67192,0.62795,0.5632,0.46339,0.38675,0.34338,0.33388,0.3315
487,0.36418,0.33863,0.37725,0.45686,0.57151,0.60894,0.63686,0.65409,0.6636,0.66716,0.62498,0.5626,0.46755,0.39448,0.35348,0.34457,0.34279
488,0.36537,0.33685,0.37487,0.4527,0.56617,0.6036,0.63092,0.64815,0.65766,0.66182,0.62201,0.5626,0.47171,0.40161,0.36299,0.35467,0.35348
489,0.36596,0.33566,0.3719,0.44854,0.56082,0.59765,0.62439,0.64162,0.65172,0.65588,0.61845,0.56201,0.47587,0.40992,0.37368,0.36537,0.36537
490,0.36655,0.33328,0.36834,0.44379,0.55488,0.59112,0.61785,0.63449,0.64459,0.64993,0.61429,0.56142,0.48003,0.41765,0.38378,0.37665,0.37665
491,0.36715,0.3315,0.36477,0.43903,0.54835,0.58399,0.61013,0.62677,0.63746,0.64281,0.61013,0.56023,0.48418,0.42596,0.39507,0.38854,0.38913
492,0.36715,0.32913,0.36121,0.43369,0.54181,0.57686,0.603,0.61904,0.62974,0.63568,0.60538,0.55904,0.48834,0.43428,0.40576,0.39982,0.40101
493,0.36715,0.32675,0.35705,0.42775,0.53468,0.56914,0.59468,0.61072,0.62142,0.62795,0.60003,0.55726,0.49191,0.4426,0.41705,0.4117,0.41349
494,0.36655,0.32378,0.35289,0.4224,0.52755,0.56142,0.58637,0.60241,0.6131,0.62023,0.59468,0.55607,0.49607,0.45091,0.42775,0.42418,0.42596
495,0.36596,0.32081,0.34814,0.41586,0.51923,0.5525,0.57746,0.5929,0.60419,0.61132,0.58934,0.55429,0.50022,0.45983,0.43963,0.43666,0.43963
496,0.36477,0.31784,0.34338,0.40992,0.51151,0.54419,0.56854,0.58399,0.59528,0.603,0.5834,0.5525,0.50438,0.46814,0.45151,0.44913,0.4527
497,0.36299,0.31427,0.33863,0.40339,0.50319,0.53528,0.55904,0.57389,0.58577,0.59409,0.57746,0.55072,0.50854,0.47705,0.46339,0.4622,0.46636
498,0.36121,0.31071,0.33328,0.39685,0.49488,0.52636,0.54953,0.56498,0.57627,0.58518,0.57151,0.54894,0.5127,0.48656,0.47587,0.47527,0.48003
499,0.35942,0.30714,0.32853,0.38972,0.48656,0.51686,0.54003,0.55488,0.56676,0.57627,0.56557,0.54716,0.51745,0.49607,0.48894,0.48894,0.49428
500,0.35705,0.30299,0.32319,0.38319,0.47765,0.50735,0.53052,0.54478,0.55666,0.56736,0.55963,0.54537,0.52221,0.50557,0.50141,0.5026,0.50854
501,0.35408,0.29883,0.31784,0.37606,0.46874,0.49785,0.52042,0.53468,0.54716,0.55785,0.55369,0.54359,0.52755,0.51626,0.51567,0.51745,0.52399
502,0.35051,0.29467,0.3119,0.36893,0.45983,0.48834,0.50973,0.52458,0.53706,0.54835,0.54775,0.5424,0.53349,0.52815,0.53052,0.53349,0.54062
503,0.34695,0.28992,0.30655,0.3618,0.45091,0.47824,0.50022,0.51389,0.52696,0.53884,0.54181,0.54122,0.53943,0.54003,0.54656,0.55013,0.55785
504,0.3422,0.28516,0.30061,0.35467,0.44141,0.46874,0.48953,0.50379,0.51626,0.52933,0.53587,0.54062,0.54656,0.5531,0.5632,0.56795,0.57627
505,0.33744,0.28041,0.29467,0.34754,0.4325,0.45864,0.47943,0.49309,0.50616,0.51983,0.53052,0.54003,0.55369,0.56676,0.58102,0.58637,0.59587
506,0.33269,0.27566,0.28932,0.34041,0.42359,0.44913,0.46993,0.483,0.49666,0.51092,0.52518,0.54062,0.56201,0.58043,0.59825,0.60538,0.61548
507,0.32675,0.27031,0.28338,0.33328,0.41468,0.44022,0.45983,0.47349,0.48715,0.50201,0.52042,0.54062,0.57033,0.59528,0.61726,0.62498,0.63568
508,0.32021,0.26496,0.27744,0.32616,0.40576,0.43012,0.44973,0.4628,0.47705,0.49309,0.51567,0.54122,0.57983,0.61132,0.63746,0.64637,0.65766
