0,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9
428,0.11676,0.1334,0.054468,0.054468,0.16862,0.19569,0.16699,0.15558,0.12785,0.08578,0.076321,0.055773,0.052511,0.050554,0.04925,0.04925,0.048598
429,0.11905,0.13503,0.055447,0.055447,0.16895,0.19635,0.16732,0.1559,0.12818,0.086432,0.076647,0.056425,0.053164,0.051207,0.049902,0.049576,0.04925
430,0.12166,0.13666,0.056099,0.056099,0.16928,0.19635,0.16765,0.15623,0.12851,0.086758,0.077299,0.057078,0.053816,0.051859,0.050554,0.050228,0.049902
431,0.12459,0.13862,0.057078,0.057078,0.16993,0.197,0.16797,0.15656,0.12883,0.08741,0.077952,0.05773,0.054468,0.052511,0.051207,0.050881,0.050554
432,0.1272,0.14057,0.058056,0.058056,0.17025,0.19733,0.1683,0.15688,0.12948,0.087736,0.078278,0.058382,0.054795,0.053164,0.051859,0.051533,0.051207
433,0.13014,0.14286,0.059035,0.059035,0.17058,0.19765,0.16862,0.15753,0.12981,0.088389,0.07893,0.059035,0.055447,0.053816,0.052511,0.052185,0.051859
434,0.1334,0.14481,0.060013,0.060013,0.17091,0.19798,0.16895,0.15786,0.13014,0.089041,0.079583,0.059361,0.056099,0.054468,0.053164,0.052838,0.052185
435,0.13633,0.1471,0.060992,0.060992,0.17156,0.1983,0.16928,0.15819,0.13079,0.089367,0.080235,0.060013,0.056751,0.055121,0.053816,0.05349,0.052838
436,0.1396,0.14938,0.06197,0.06197,0.17189,0.19863,0.1696,0.15851,0.13112,0.09002,0.080561,0.060665,0.057404,0.055773,0.054142,0.054142,0.05349
437,0.14318,0.15166,0.062948,0.062948,0.17221,0.19896,0.16993,0.15884,0.13144,0.090346,0.081213,0.061318,0.05773,0.056099,0.054795,0.054795,0.054142
438,0.14677,0.15427,0.064253,0.064253,0.17286,0.19961,0.17058,0.15917,0.13209,0.090998,0.081866,0.06197,0.058382,0.056751,0.055447,0.055447,0.054795
439,0.15036,0.15656,0.065232,0.065232,0.17352,0.20026,0.17091,0.15982,0.13242,0.091324,0.082192,0.062296,0.059035,0.057404,0.056099,0.055773,0.055447
440,0.15395,0.15949,0.066536,0.066536,0.17417,0.20091,0.17156,0.16047,0.13307,0.091977,0.082844,0.062948,0.059687,0.058056,0.056751,0.056425,0.055773
441,0.15819,0.1621,0.067841,0.067841,0.17482,0.20157,0.17221,0.16112,0.13372,0.092629,0.083496,0.063601,0.060013,0.058382,0.057078,0.057078,0.056425
442,0.1621,0.16504,0.069145,0.069145,0.1758,0.20222,0.17286,0.16177,0.13438,0.093281,0.083823,0.063927,0.060665,0.059035,0.05773,0.057404,0.057078
443,0.16634,0.16797,0.07045,0.07045,0.17678,0.2032,0.17384,0.16243,0.13503,0.093933,0.084475,0.064579,0.060992,0.059361,0.058056,0.058056,0.057404
444,0.17058,0.17123,0.071755,0.071755,0.17776,0.2045,0.17482,0.16341,0.13601,0.094586,0.085127,0.064905,0.061644,0.060013,0.058708,0.058382,0.058056
445,0.17515,0.17449,0.073386,0.073386,0.17906,0.20548,0.1758,0.16438,0.13699,0.095238,0.08578,0.065558,0.06197,0.060339,0.059035,0.059035,0.058382
446,0.17971,0.17776,0.07469,0.07469,0.18004,0.20678,0.1771,0.16569,0.13764,0.09589,0.086432,0.065884,0.062622,0.060665,0.059361,0.059361,0.058708
447,0.18428,0.18134,0.076321,0.076321,0.18167,0.20841,0.17808,0.16667,0.13862,0.096543,0.086758,0.066536,0.062948,0.061318,0.060013,0.059687,0.059361
448,0.1895,0.18493,0.077952,0.077952,0.1833,0.21005,0.17971,0.1683,0.13992,0.097195,0.08741,0.066862,0.063275,0.061644,0.060339,0.060339,0.059687
