76,0.0175,57,0.0225,0,0,0,0,0,0,0,0,132,0.0125,0,0,0,0,0,0,0,0,400,0.015,330,0.043333,460,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,0.015,58,0.02,0,0,0,0,0,0,0,0,134,0.01,0,0,0,0,0,0,0,0,425,0.0125,335,0.036667,490,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,0.0125,59,0.015,0,0,0,0,0,0,0,0,166,0.0075,0,0,0,0,0,0,0,0,430,0.01,340,0.033333,565,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,0.01,77,0.0125,0,0,0,0,0,0,0,0,176,0.005,0,0,0,0,0,0,0,0,450,0.0075,345,0.03,575,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,0.0075,79,0.01,0,0,0,0,0,0,0,0,198,0.0025,0,0,0,0,0,0,0,0,470,0.005,360,0.026667,680,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,0.005,81,0.0075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,545,0.0025,365,0.023333,855,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,0.0025,89,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,370,0.02,1155,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,111,0.0025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,390,0.013333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,405,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,420,0.0066667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,790,0.0033333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
